UF;Ano;Modelo de Gestão;SSP (R$ Mi);SAP (R$ Mi);SSP + SAP (R$ Mi);Orçamento Total Estado (R$ Mi);SSP (%);SAP (%);SSP + SAP (%)
SC;2019;SAP Separada;2255,21526178;294,54208659;2549,7573483700003;25339,43607616;8,9;1,16;10,06
SC;2020;SAP Separada;2351,31809613;276,67357791;2627,99167404;25739,70077372;9,13;1,07;10,21
SC;2021;SAP Separada;2498,07627662;265,68818673;2763,76446335;30632,91313628;8,15;0,87;9,02
SC;2022;SAP Separada;3182,36640313;308,72880698;3491,09521011;39901,01648814;7,98;0,77;8,75
SC;2023;SAP Separada;3185,56498586;316,97086528;3502,5358511400004;40177,913208599995;7,93;0,79;8,72
SC;2024;SAP Separada;3368,4982045300003;299,96546094;3668,46366547;45739,70845268;7,36;0,66;8,02
SC;2025;SAP Separada;3724,0056461599997;369,40032918;4093,40597534;52039,082767269996;7,16;0,71;7,87
SE;2015;SAP Separada;784,08774699;40,46289504;824,55064203;6943,62059827;11,29;0,58;11,87
SE;2016;SAP Separada;820,59219804;51,75749911;872,34969715;7197,72887202;11,4;0,72;12,12
SE;2017;SAP Separada;845,5844553200001;70,53933204;916,12378736;7792,39297346;10,85;0,91;11,76
SE;2018;SAP Separada;892,9861861100001;96,67457415000001;989,66076026;8038,003476819999;11,11;1,2;12,31
SE;2019;SAP Separada;958,34846378;119,68566795000001;1078,0341317300001;8778,2415965;10,92;1,36;12,28
SE;2020;SAP Separada;956,4598534600001;85,21712919;1041,67698265;9025,254986799999;10,6;0,94;11,54
SE;2021;SAP Separada;1504,44795871;132,73906802;1637,18702673;9864,7582974;15,25;1,35;16,6
SE;2022;SAP Separada;1252,12730332;132,75457627;1384,88187959;12112,160186719999;10,34;1,1;11,43
SE;2023;SAP Separada;1253,98928706;112,43333066;1366,42261772;12478,94619157;10,05;0,9;10,95
SE;2024;SSP Integrada (Tudo na SSP);1700,73245209;0,0;1700,73245209;14600,69972956;11,65;0,0;11,65
SE;2025;SSP Integrada (Tudo na SSP);1906,72532565;0,0;1906,72532565;17255,87933307;11,05;0,0;11,05
SP;2015;SAP Separada;11197,08472614;2955,5812538600003;14152,66598;192086,08723569;5,83;1,54;7,37
SP;2016;SAP Separada;10930,82556865;3090,01592015;14020,841488799999;188996,42253644;5,78;1,63;7,42
SP;2017;SAP Separada;11473,02930261;3115,27495398;14588,30425659;200282,53094111;5,73;1,56;7,28
SP;2018;SAP Separada;11325,84779833;3175,0067133499997;14500,85451168;209644,96150539;5,4;1,51;6,92
SP;2019;SAP Separada;11800,303005149999;3230,561069;15030,86407415;223311,16874395998;5,28;1,45;6,73
SP;2020;SAP Separada;11638,99739466;3286,33379492;14925,33118958;216731,5672885;5,37;1,52;6,89
SP;2021;SAP Separada;12616,229094010001;3269,3665895599997;15885,59568357;258882,56185338;4,87;1,26;6,14
SP;2022;SAP Separada;13914,34757637;3755,86856752;17670,21614389;299510,87073220004;4,65;1,25;5,9
SP;2023;SAP Separada;15168,4988865;4049,76050651;19218,259393009997;302650,95913789;5,01;1,34;6,35
SP;2024;SAP Separada;16336,93519276;4425,01133863;20761,94653139;335692,61488249;4,87;1,32;6,18
SP;2025;SAP Separada;17697,92188241;4976,66558851;22674,58747092;355439,27619785996;4,98;1,4;6,38
TO;2015;SAP Separada;629,94856189;53,81055081;683,7591127000001;6823,9557626000005;9,23;0,79;10,02
TO;2016;SAP Separada;728,92889644;66,15135998;795,0802564200001;7838,456286430001;9,3;0,84;10,14
TO;2017;SAP Separada;797,2507548;82,86787935;880,1186341499999;8119,606914229999;9,82;1,02;10,84
TO;2018;SAP Separada;869,45436174;66,84097813;936,29533987;7877,68991278;11,04;0,85;11,89
TO;2019;SSP Integrada (Tudo na SSP);1070,22109123;0,0;1070,22109123;8392,27076741;12,75;0,0;12,75
TO;2020;SSP Integrada (Tudo na SSP);1044,0002771;0,0;1044,0002771;8954,349888530001;11,66;0,0;11,66
TO;2021;SAP Separada;1022,46083198;96,13188423;1118,59271621;10090,15753049;10,13;0,95;11,09
TO;2022;SAP Separada;1121,37500303;105,21979422;1226,59479725;12196,684645110001;9,19;0,86;10,06
TO;2023;SAP Separada;1264,75805902;118,95913911;1383,71719813;13827,02405658;9,15;0,86;10,01
TO;2024;SAP Separada;1413,5116341500002;116,34463448000001;1529,8562686300002;15609,74732855;9,06;0,75;9,8
TO;2025;SAP Separada;1435,57904212;265,2491205;1700,8281626199998;16550,94389876;8,67;1,6;10,28
