UF;Ano;Status;SSP_Exceto_R$;SSP_Intra_R$;SSP_Total_R$;SAP_Exceto_R$;SAP_Intra_R$;SAP_Total_R$;SSP_SAP_Exceto_R$;SSP_SAP_Intra_R$;SSP_SAP_Total_R$;Total_Exceto_R$;Total_Intra_R$;Total_Geral_R$;Pct_SSP_Exceto_%;Pct_SSP_Total_%;Pct_SAP_Exceto_%;Pct_SAP_Total_%;Pct_SSP_SAP_Exceto_%;Pct_SSP_SAP_Total_%;Pct_API_%
MS;2020;OK;1239098578,62;288103335,77;1527201914,39;295062899,31;39758420,68;334821319,99;1534161477,9299998;327861756,45;1862023234,38;13019449687,36;2065078374,87;15084528062,23;9,52;10,12;2,27;2,22;11,78;12,34;8,21
MS;2021;OK;1404733613,56;238630496,73;1643364110,29;325867701,33;49206230,01;375073931,34;1730601314,89;287836726,74;2018438041,63;15504036099,63;2149533019,38;17653569119,01;9,06;9,31;2,1;2,12;11,16;11,43;7,96
MS;2022;OK;1954103796,47;295579894,86;2249683691,33;265243767,31;22026264,55;287270031,86;2219347563,78;317606159,41;2536953723,19;20120655594,72;2268636334,54;22389291929,26;9,71;10,05;1,32;1,28;11,03;11,33;8,73
MS;2023;OK;2096097105,92;283535590,25;2379632696,17;219775541,27;754183,82;220529725,09;2315872647,19;284289774,07;2600162421,26;21581307009,98;1922946399,35;23504253409,33;9,71;10,12;1,02;0,94;10,73;11,06;8,92
MS;2024;OK;1842293218,72;195444143,35;2037737362,07;479389155,42;50465436,75;529854592,17;2321682374,14;245909580,1;2567591954,24;22388732403,22;2018021372,46;24406753775,68;8,23;8,35;2,14;2,17;10,37;10,52;7,55
MT;2015;OK;1376025071,24;0,0;1376025071,24;10872000,37;0,0;10872000,37;1386897071,61;0,0;1386897071,61;12294955076,94;1578364178,66;13873319255,6;11,19;9,92;0,09;0,08;11,28;10,0;9,92
MT;2016;OK;1759673246,81;333259537,43;2092932784,24;71426044,4;0,0;71426044,4;1831099291,21;333259537,43;2164358828,64;14222940083,31;2049487026,31;16272427109,62;12,37;12,86;0,5;0,44;12,87;13,3;10,81
MT;2017;OK;1852416215,9;341849855,71;2194266071,61;83522041,53;0,0;83522041,53;1935938257,43;341849855,71;2277788113,1400003;15760334906,49;1352003755,78;17112338662,27;11,75;12,82;0,53;0,49;12,28;13,31;10,83
MT;2018;OK;2004744755,39;384499347,85;2389244103,24;82390335,62;0,0;82390335,62;2087135091,01;384499347,85;2471634438,86;16415492419,89;1473863435,32;17889355855,21;12,21;13,36;0,5;0,46;12,71;13,82;11,21
MT;2019;OK;2367502201,9;456597837,12;2824100039,02;87481073,84;0,0;87481073,84;2454983275,74;456597837,12;2911581112,86;17715799207,53;1533840851,95;19249640059,48;13,36;14,67;0,49;0,45;13,86;15,13;12,3
MT;2020;OK;2473063944,07;325887515,19;2798951459,26;100623820,55;0,0;100623820,55;2573687764,6200004;325887515,19;2899575279,8100004;17122880512,44;1757562454,82;18880442967,26;14,44;14,82;0,59;0,53;15,03;15,36;13,1
MT;2021;OK;2746537613,83;336054074,62;3082591688,45;91228664,41;0,0;91228664,41;2837766278,24;336054074,62;3173820352,86;20792620708,21;2040547542,91;22833168251,12;13,21;13,5;0,44;0,4;13,65;13,9;12,03
MT;2022;OK;3220150997,38;385460870,9;3605611868,28;111590314,49;0,0;111590314,49;3331741311,87;385460870,9;3717202182,77;26603077575,77;2593733668,3;29196811244,07;12,1;12,35;0,42;0,38;12,52;12,73;11,03
MT;2023;OK;3520213912,88;425694443,32;3945908356,2;132663456,16;0,0;132663456,16;3652877369,04;425694443,32;4078571812,36;31159184152,96;2941681885,29;34100866038,25;11,3;11,57;0,43;0,39;11,72;11,96;10,32
MT;2024;OK;3892123071,94;456021063,04;4348144134,9800005;156323900,71;0,0;156323900,71;4048446972,65;456021063,04;4504468035,690001;33176046140,88;2934204094,38;36110250235,26;11,73;12,04;0,47;0,43;12,2;12,47;10,78
PA;2015;OK;2124729292,29;0,0;2124729292,29;0,0;0,0;0,0;2124729292,29;0,0;2124729292,29;19926025919,08;864850957,03;20790876876,11;10,66;10,22;0,0;0,0;10,66;10,22;10,22
PA;2016;OK;2220348191,37;14582717,73;2234930909,1;0,0;0,0;0,0;2220348191,37;14582717,73;2234930909,1;20519441147,52;959027360,83;21478468508,35;10,82;10,41;0,0;0,0;10,82;10,41;10,34
PA;2017;OK;2323451896,21;16821097,94;2340272994,15;0,0;0,0;0,0;2323451896,21;16821097,94;2340272994,15;21382952928,74;1135548732,5;22518501661,24;10,87;10,39;0,0;0,0;10,87;10,39;10,32
PA;2018;OK;2711131960,52;17441939,34;2728573899,86;0,0;0,0;0,0;2711131960,52;17441939,34;2728573899,86;24059931246,49;1380240633,63;25440171880,12;11,27;10,73;0,0;0,0;11,27;10,73;10,66
PA;2019;OK;2832033196,54;18499008,46;2850532205,0;0,0;0,0;0,0;2832033196,54;18499008,46;2850532205,0;24689072518,79;1271346749,33;25960419268,12;11,47;10,98;0,0;0,0;11,47;10,98;10,91
PA;2020;OK;2952598687,52;20434342,46;2973033029,98;0,0;0,0;0,0;2952598687,52;20434342,46;2973033029,98;28554000658,67;2042576053,93;30596576712,6;10,34;9,72;0,0;0,0;10,34;9,72;9,65
PA;2021;OK;3229269412,76;21979403,33;3251248816,09;0,0;0,0;0,0;3229269412,76;21979403,33;3251248816,09;33246722541,88;1582878069,31;34829600611,19;9,71;9,33;0,0;0,0;9,71;9,33;9,27
PA;2022;OK;4056231178,34;24839637,18;4081070815,52;0,0;0,0;0,0;4056231178,34;24839637,18;4081070815,52;35643769501,82;2481282581,32;38125052083,14;11,38;10,7;0,0;0,0;11,38;10,7;10,64
PA;2023;OK;4718838963,13;32157328,68;4750996291,81;0,0;0,0;0,0;4718838963,13;32157328,68;4750996291,81;40325242638,09;3420758941,93;43746001580,02;11,7;10,86;0,0;0,0;11,7;10,86;10,79
PA;2024;OK;5289023439,28;31376128,36;5320399567,639999;0,0;0,0;0,0;5289023439,28;31376128,36;5320399567,639999;44658993520,48;3784900078,72;48443893599,2;11,84;10,98;0,0;0,0;11,84;10,98;10,92
PB;2015;OK;909976812,61;0,0;909976812,61;1985003,13;0,0;1985003,13;911961815,74;0,0;911961815,74;8814524865,59;477131775,84;9291656641,43;10,32;9,79;0,02;0,02;10,35;9,81;9,79
PB;2016;OK;1082056430,96;109136691,58;1191193122,54;2426263,34;0,0;2426263,34;1084482694,3;109136691,58;1193619385,88;9009480741,48;488732436,73;9498213178,21;12,01;12,54;0,03;0,03;12,04;12,57;11,39
PB;2017;OK;1152515773,4;106737914,51;1259253687,91;3210327,88;0,0;3210327,88;1155726101,2800002;106737914,51;1262464015,7900002;9267790048,71;462226451,08;9730016499,79;12,44;12,94;0,03;0,03;12,47;12,97;11,84
PB;2018;OK;1263483457,0;106045475,52;1369528932,52;16780193,64;0,0;16780193,64;1280263650,64;106045475,52;1386309126,16;9892198363,08;475592355,04;10367790718,12;12,77;13,21;0,17;0,16;12,94;13,37;12,19
PB;2019;OK;1330366298,34;107359746,51;1437726044,85;13617871,83;0,0;13617871,83;1343984170,1699998;107359746,51;1451343916,6799998;9988521025,74;502418277,77;10490939303,51;13,32;13,7;0,14;0,13;13,46;13,83;12,68
PB;2020;OK;1398735056,95;110150900,6;1508885957,55;16586350,75;0,0;16586350,75;1415321407,7;110150900,6;1525472308,3;10202058313,97;526962596,27;10729020910,24;13,71;14,06;0,16;0,15;13,87;14,22;13,04
PB;2021;OK;1433380830,3;118037104,8;1551417935,1;7814995,71;0,0;7814995,71;1441195826,01;118037104,8;1559232930,81;11607781894,16;559306710,65;12167088604,81;12,35;12,75;0,07;0,06;12,42;12,82;11,78
PB;2022;OK;1756622202,34;152581174,93;1909203377,27;11490091,69;0,0;11490091,69;1768112294,03;152581174,93;1920693468,96;14715967210,84;702452629,34;15418419840,18;11,94;12,38;0,08;0,07;12,01;12,46;11,39
PB;2023;OK;1866161521,13;168800038,82;2034961559,95;22107135,32;0,0;22107135,32;1888268656,45;168800038,82;2057068695,27;16518420962,93;789783568,51;17308204531,44;11,3;11,76;0,13;0,13;11,43;11,88;10,78
PB;2024;OK;2074315646,91;196467461,09;2270783108,0;36703319,37;0,0;36703319,37;2111018966,28;196467461,09;2307486427,37;18880469163,8;863450331,67;19743919495,47;10,99;11,5;0,19;0,19;11,18;11,69;10,51
PE;2015;OK;2133617294,92;0,0;2133617294,92;113424726,3;0,0;113424726,3;2247042021,2200003;0,0;2247042021,2200003;25243857599,89;2959721644,68;28203579244,57;8,45;7,57;0,45;0,4;8,9;7,97;7,57
PE;2016;OK;2314708998,81;421051699,72;2735760698,53;133486492,05;0,0;133486492,05;2448195490,86;421051699,72;2869247190,58;26241394616,98;3850633376,61;30092027993,59;8,82;9,09;0,51;0,44;9,33;9,53;7,69
PE;2017;OK;2529880338,52;504507960,26;3034388298,78;174326129,4;0,0;174326129,4;2704206467,92;504507960,26;3208714428,18;28691232752,21;4629253692,24;33320486444,45;8,82;9,11;0,61;0,52;9,43;9,63;7,59
PE;2018;OK;2775175397,3;540966217,55;3316141614,8500004;157066774,1;0,0;157066774,1;2932242171,4;540966217,55;3473208388,9500003;29920423476,24;4839447645,89;34759871122,13;9,28;9,54;0,52;0,45;9,8;9,99;7,98
PE;2019;OK;2892252835,04;690032903,96;3582285739,0;144394323,19;0,0;144394323,19;3036647158,23;690032903,96;3726680062,19;31754225585,36;5425772002,52;37179997587,88;9,11;9,63;0,45;0,39;9,56;10,02;7,78
PE;2020;OK;2880151335,77;590708757,83;3470860093,6;128621177,11;0,0;128621177,11;3008772512,88;590708757,83;3599481270,71;32782010001,17;5792989427,67;38574999428,84;8,79;9,0;0,39;0,33;9,18;9,33;7,47
PE;2021;OK;2884598185,52;186036676,67;3070634862,19;125252809,54;0,0;125252809,54;3009850995,06;186036676,67;3195887671,73;37492423025,28;4755119878,58;42247542903,86;7,69;7,27;0,33;0,3;8,03;7,56;6,83
PE;2022;OK;3320671005,89;208064362,04;3528735367,93;164979145,66;0,0;164979145,66;3485650151,55;208064362,04;3693714513,59;46339934448,72;5086058283,64;51425992732,36;7,17;6,86;0,36;0,32;7,52;7,18;6,46
PE;2023;OK;3396404643,55;220821164,55;3617225808,1;108681741,79;0,0;108681741,79;3505086385,34;220821164,55;3725907549,89;46237594887,06;2634602272,74;48872197159,8;7,35;7,4;0,24;0,22;7,58;7,62;6,95
PE;2024;OK;3695934331,87;223813359,79;3919747691,66;198702789,82;0,0;198702789,82;3894637121,69;223813359,79;4118450481,48;46173592083,62;2741334074,84;48914926158,46;8,0;8,01;0,43;0,41;8,43;8,42;7,56
PI;2015;OK;225759749,07;0,0;225759749,07;34211268,2;0,0;34211268,2;259971017,27;0,0;259971017,27;7165606093,44;599290487,19;7764896580,63;3,15;2,91;0,48;0,44;3,63;3,35;2,91
PI;2016;OK;695096776,0;96238250,09;791335026,09;43131176,5;0,0;43131176,5;738227952,5;96238250,09;834466202,59;8399498053,29;901621170,63;9301119223,92;8,28;8,51;0,51;0,46;8,79;8,97;7,47
PI;2017;OK;707425633,34;105191693,18;812617326,52;60697040,14;0,0;60697040,14;768122673,48;105191693,18;873314366,66;8734167233,94;779099645,7;9513266879,64;8,1;8,54;0,69;0,64;8,79;9,18;7,44
PI;2018;OK;731363539,1;131126106,16;862489645,26;78926948,32;0,0;78926948,32;810290487,4200001;131126106,16;941416593,58;9465034223,49;878824274,05;10343858497,54;7,73;8,34;0,83;0,76;8,56;9,1;7,07
PI;2019;OK;851089755,17;181906404,31;1032996159,48;60068650,19;0,0;60068650,19;911158405,36;181906404,31;1093064809,67;11400400018,79;966518092,85;12366918111,64;7,47;8,35;0,53;0,49;7,99;8,84;6,88
PI;2020;OK;778257959,88;130577357,13;908835317,01;53298890,24;0,0;53298890,24;831556850,12;130577357,13;962134207,25;10793421795,14;1350681787,19;12144103582,33;7,21;7,48;0,49;0,44;7,7;7,92;6,41
PI;2021;OK;805179449,32;166292917,24;971472366,56;60099351,19;0,0;60099351,19;865278800,51;166292917,24;1031571717,75;12071726022,37;1504625683,17;13576351705,54;6,67;7,16;0,5;0,44;7,17;7,6;5,93
PI;2022;OK;957023498,46;164528520,01;1121552018,47;83973685,93;0,0;83973685,93;1040997184,39;164528520,01;1205525704,4;15204105124,89;1532491732,64;16736596857,53;6,29;6,7;0,55;0,5;6,85;7,2;5,72
PI;2023;OK;1068544224,81;181312573,88;1249856798,69;94072930,36;0,0;94072930,36;1162617155,1699998;181312573,88;1343929729,05;17031434723,69;1685136719,15;18716571442,84;6,27;6,68;0,55;0,5;6,83;7,18;5,71
PI;2024;OK;1634489939,24;226004831,27;1860494770,51;0,0;0,0;0,0;1634489939,24;226004831,27;1860494770,51;20209833380,24;1993121032,22;22202954412,46;8,09;8,38;0,0;0,0;8,09;8,38;7,36
PR;2015;OK;3200613195,89;0,0;3200613195,89;16322330,26;0,0;16322330,26;3216935526,15;0,0;3216935526,15;42029519649,63;0,0;42029519649,63;7,62;7,62;0,04;0,04;7,65;7,65;7,62
PR;2016;OK;3653990738,41;0,0;3653990738,41;157767715,21;0,0;157767715,21;3811758453,62;0,0;3811758453,62;49881386280,67;0,0;49881386280,67;7,33;7,33;0,32;0,32;7,64;7,64;7,33
PR;2017;OK;4005811767,0;0,0;4005811767,0;164170969,27;0,0;164170969,27;4169982736,27;0,0;4169982736,27;52372373517,14;0,0;52372373517,14;7,65;7,65;0,31;0,31;7,96;7,96;7,65
PR;2018;OK;3579358424,34;303206455,39;3882564879,73;137366798,2;15598388,58;152965186,78;3716725222,54;318804843,97;4035530066,51;46608186356,12;1878800173,79;48486986529,91;7,68;8,01;0,29;0,32;7,97;8,32;7,38
PR;2019;OK;3444551316,5;297412344,32;3741963660,82;152415595,52;16227707,04;168643302,56;3596966912,02;313640051,36;3910606963,38;47658177048,73;1796483510,08;49454660558,81;7,23;7,57;0,32;0,34;7,55;7,91;6,97
PR;2020;OK;3370586391,61;439772417,5;3810358809,11;23867619,33;25110,0;23892729,33;3394454010,94;439797527,5;3834251538,44;40178419279,67;3018874542,23;43197293821,9;8,39;8,82;0,06;0,06;8,45;8,88;7,8
PR;2021;OK;3459075698,3;489930639,11;3949006337,41;29004609,08;0,0;29004609,08;3488080307,38;489930639,11;3978010946,49;43096801482,17;3657623114,06;46754424596,23;8,03;8,45;0,07;0,06;8,09;8,51;7,4
PR;2022;OK;4338231292,14;543355850,03;4881587142,17;32810475,77;0,0;32810475,77;4371041767,910001;543355850,03;4914397617,940001;46962991440,5;4073708852,36;51036700292,86;9,24;9,56;0,07;0,06;9,31;9,63;8,5
PR;2023;OK;5283235009,36;637374694,75;5920609704,11;41797354,05;0,0;41797354,05;5325032363,41;637374694,75;5962407058,16;56303457629,92;5500567123,01;61804024752,93;9,38;9,58;0,07;0,07;9,46;9,65;8,55
PR;2024;OK;5816315506,77;705071278,9;6521386785,67;53243528,63;0,0;53243528,63;5869559035,400001;705071278,9;6574630314,3;63812465125,82;4301014332,61;68113479458,43;9,11;9,57;0,08;0,08;9,2;9,65;8,54
RJ;2015;OK;8627506653,44;0,0;8627506653,44;0,0;0,0;0,0;8627506653,44;0,0;8627506653,44;61906157120,27;3725207594,33;65631364714,6;13,94;13,15;0,0;0,0;13,94;13,15;13,15
RJ;2016;OK;9154615319,0;1342072222,0;10496687541,0;0,0;0,0;0,0;9154615319,0;1342072222,0;10496687541,0;56459837347,0;4007303525,0;60467140872,0;16,21;17,36;0,0;0,0;16,21;17,36;15,14
RJ;2017;OK;8552219680,0;1424951918,0;9977171598,0;0,0;0,0;0,0;8552219680,0;1424951918,0;9977171598,0;60398286601,0;7312470518,0;67710757119,0;14,16;14,73;0,0;0,0;14,16;14,73;12,63
RJ;2018;OK;9461473976,0;1692737178,0;11154211154,0;0,0;0,0;0,0;9461473976,0;1692737178,0;11154211154,0;61316681183,48;5025624622,33;66342305805,81;15,43;16,81;0,0;0,0;15,43;16,81;14,26
RJ;2019;OK;9654124450,0;1852765369,0;11506889819,0;0,0;0,0;0,0;9654124450,0;1852765369,0;11506889819,0;59059033457,0;7498165052,0;66557198509,0;16,35;17,29;0,0;0,0;16,35;17,29;14,51
RJ;2020;OK;9317466849,68;705758289,57;10023225139,25;0,0;0,0;0,0;9317466849,68;705758289,57;10023225139,25;59341251886,97;4610164328,67;63951416215,64;15,7;15,67;0,0;0,0;15,7;15,67;14,57
RJ;2021;OK;9802587724,05;699538979,28;10502126703,33;0,0;0,0;0,0;9802587724,05;699538979,28;10502126703,33;70998207050,63;5869535589,49;76867742640,12;13,81;13,66;0,0;0,0;13,81;13,66;12,75
RJ;2022;OK;13651511239,35;946379605,46;14597890844,81;0,0;0,0;0,0;13651511239,35;946379605,46;14597890844,81;86542009514,32;6347842257,03;92889851771,35;15,77;15,72;0,0;0,0;15,77;15,72;14,7
RJ;2023;OK;15180231055,08;990427667,16;16170658722,24;0,0;0,0;0,0;15180231055,08;990427667,16;16170658722,24;93494116343,28;7172349770,9;100666466114,18;16,24;16,06;0,0;0,0;16,24;16,06;15,08
RJ;2024;OK;15757207716,73;736235012,12;16493442728,85;0,0;0,0;0,0;15757207716,73;736235012,12;16493442728,85;99267937429,71;7994680383,29;107262617813,0;15,87;15,38;0,0;0,0;15,87;15,38;14,69
RN;2015;OK;794089321,19;0,0;794089321,19;43715956,31;0,0;43715956,31;837805277,5;0,0;837805277,5;9785419993,57;794869880,72;10580289874,29;8,12;7,51;0,45;0,41;8,56;7,92;7,51
RN;2016;OK;885254261,69;167618763,43;1052873025,12;40969527,27;0,0;40969527,27;926223788,96;167618763,43;1093842552,39;8988718703,72;890628826,66;9879347530,38;9,85;10,66;0,46;0,41;10,3;11,07;8,96
RN;2017;OK;858659061,72;159656154,86;1018315216,58;39899087,69;0,0;39899087,69;898558149,4100001;159656154,86;1058214304,27;9670754551,03;1114479214,26;10785233765,29;8,88;9,44;0,41;0,37;9,29;9,81;7,96
RN;2018;OK;961445798,66;167552405,42;1128998204,08;55157602,95;0,0;55157602,95;1016603401,61;167552405,42;1184155807,03;10293074575,51;1393858861,78;11686933437,29;9,34;9,66;0,54;0,47;9,88;10,13;8,23
RN;2019;OK;1090534387,19;205018243,51;1295552630,7;83509319,64;0,0;83509319,64;1174043706,8300002;205018243,51;1379061950,3400002;10782844658,59;1508839188,92;12291683847,51;10,11;10,54;0,77;0,68;10,89;11,22;8,87
RN;2020;OK;1024288412,7;201904248,72;1226192661,42;59398301,32;0,0;59398301,32;1083686714,02;201904248,72;1285590962,74;11349992250,89;1592685411,93;12942677662,82;9,02;9,47;0,52;0,46;9,55;9,93;7,91
RN;2021;OK;1186634040,14;229904681,62;1416538721,7600002;78936317,63;0,0;78936317,63;1265570357,77;229904681,62;1495475039,3900003;12518354631,41;1943088132,22;14461442763,63;9,48;9,8;0,63;0,55;10,11;10,34;8,21
RN;2022;OK;1347601639,86;253139698,05;1600741337,9099998;81510803,45;0,0;81510803,45;1429112443,31;253139698,05;1682252141,36;14951348585,57;2157095352,83;17108443938,4;9,01;9,36;0,55;0,48;9,56;9,83;7,88
RN;2023;OK;2305933981,19;76840817,77;2382774798,96;92998436,97;568,32;92999005,29;2398932418,16;76841386,08999999;2475773804,25;16861967298,85;2193472122,63;19055439421,48;13,68;12,5;0,55;0,49;14,23;12,99;12,1
RN;2024;OK;2377464823,31;83081003,42;2460545826,73;96837146,55;5520,84;96842667,39;2474301969,86;83086524,26;2557388494,12;18735308695,78;2297652989,74;21032961685,52;12,69;11,7;0,52;0,46;13,21;12,16;11,3
RO;2015;OK;911162930,16;0,0;911162930,16;0,0;0,0;0,0;911162930,16;0,0;911162930,16;5514125733,31;200127622,78;5714253356,09;16,52;15,95;0,0;0,0;16,52;15,95;15,95
RO;2016;OK;723414364,18;51659759,44;775074123,6199999;0,0;0,0;0,0;723414364,18;51659759,44;775074123,6199999;5910222682,5;217286294,88;6127508977,38;12,24;12,65;0,0;0,0;12,24;12,65;11,81
RO;2017;OK;779523753,27;62488306,08;842012059,35;0,0;0,0;0,0;779523753,27;62488306,08;842012059,35;6436554966,82;271449824,55;6708004791,37;12,11;12,55;0,0;0,0;12,11;12,55;11,62
RO;2018;OK;815249423,68;70893247,55;886142671,2299999;0,0;0,0;0,0;815249423,68;70893247,55;886142671,2299999;6910437765,78;282159198,81;7192596964,59;11,8;12,32;0,0;0,0;11,8;12,32;11,33
RO;2019;OK;813715399,14;81776136,15;895491535,29;0,0;0,0;0,0;813715399,14;81776136,15;895491535,29;6875270547,11;330264294,98;7205534842,09;11,84;12,43;0,0;0,0;11,84;12,43;11,29
RO;2020;OK;971864351,59;29879978,31;1001744329,9;77064675,43;0,0;77064675,43;1048929027,02;29879978,31;1078809005,33;7136579700,41;296622528,64;7433202229,05;13,62;13,48;1,08;1,04;14,7;14,51;13,07
RO;2021;OK;1039152456,91;34172603,76;1073325060,67;80562637,78;1383,5;80564021,28;1119715094,69;34173987,26;1153889081,95;7949948350,03;335629834,8;8285578184,83;13,07;12,95;1,01;0,97;14,08;13,93;12,54
RO;2022;OK;1483588503,9;53626127,43;1537214631,3300002;95709086,46;25732,4;95734818,86;1579297590,36;53651859,83;1632949450,19;10504635662,66;721248403,91;11225884066,57;14,12;13,69;0,91;0,85;15,03;14,55;13,22
RO;2023;OK;1558579692,49;50432162,47;1609011854,96;127425417,64;73131,4;127498549,04;1686005110,13;50505293,87;1736510404,0;11146330273,53;749279269,77;11895609543,3;13,98;13,53;1,14;1,07;15,13;14,6;13,1
RO;2024;OK;1807641550,45;58812607,43;1866454157,88;123326249,64;0,0;123326249,64;1930967800,09;58812607,43;1989780407,52;12905286014,72;1118970778,01;14024256792,73;14,01;13,31;0,96;0,88;14,96;14,19;12,89
RR;2015;OK;292047483,8;0,0;292047483,8;21555426,12;0,0;21555426,12;313602909,92;0,0;313602909,92;2904249217,1;126086409,0;3030335626,1;10,06;9,64;0,74;0,71;10,8;10,35;9,64
RR;2016;OK;337494547,83;12296297,87;349790845,7;22885456,8;0,0;22885456,8;360380004,63;12296297,87;372676302,5;3096542774,61;109716990,27;3206259764,88;10,9;10,91;0,74;0,71;11,64;11,62;10,53
RR;2017;OK;383725591,56;8056585,74;391782177,3;21019049,76;1661829,61;22680879,37;404744641,32;9718415,35;414463056,67;3555491691,14;96093407,86;3651585099,0;10,79;10,73;0,59;0,62;11,38;11,35;10,51
RR;2018;OK;358722520,14;17628051,63;376350571,77;11733509,63;0,0;11733509,63;370456029,77;17628051,63;388084081,4;3015160414,99;92542991,32;3107703406,31;11,9;12,11;0,39;0,38;12,29;12,49;11,54
RR;2019;OK;250575691,39;21314362,16;271890053,55;35897905,83;0,0;35897905,83;286473597,22;21314362,16;307787959,38;3402106960,17;167174361,31;3569281321,48;7,37;7,62;1,06;1,01;8,42;8,62;7,02
RR;2020;OK;378939248,6;35325481,6;414264730,2000001;35181035,96;0,0;35181035,96;414120284,56;35325481,6;449445766,16;3533060012,41;170569778,31;3703629790,72;10,73;11,19;1,0;0,95;11,72;12,14;10,23
RR;2021;OK;477594797,33;39980740,88;517575538,21;34728235,36;0,0;34728235,36;512323032,69;39980740,88;552303773,5699999;4480366004,51;215461139,28;4695827143,79;10,66;11,02;0,78;0,74;11,43;11,76;10,17
RR;2022;OK;588909722,01;49190162,82;638099884,83;33360526,34;0,0;33360526,34;622270248,35;49190162,82;671460411,1700001;6447862088,89;250864475,89;6698726564,78;9,13;9,53;0,52;0,5;9,65;10,02;8,79
RR;2023;OK;705746482,86;55732896,85;761479379,71;37155854,21;0,0;37155854,21;742902337,07;55732896,85;798635233,9200001;6884745714,58;280160632,78;7164906347,36;10,25;10,63;0,54;0,52;10,79;11,15;9,85
RR;2024;OK;766040281,38;63185187,58;829225468,96;38716697,07;0,0;38716697,07;804756978,45;63185187,58;867942166,0300001;7803738678,1;441018722,66;8244757400,76;9,82;10,06;0,5;0,47;10,31;10,53;9,29
RS;2015;OK;3005605326,03;0,0;3005605326,03;0,0;0,0;0,0;3005605326,03;0,0;3005605326,03;44996319988,33;9594049158,21;54590369146,54;6,68;5,51;0,0;0,0;6,68;5,51;5,51
RS;2016;OK;3278888397,51;327085,04;3279215482,55;0,0;0,0;0,0;3278888397,51;327085,04;3279215482,55;46134418367,76;10465771991,1;56600190358,86;7,11;5,79;0,0;0,0;7,11;5,79;5,79
RS;2017;OK;3709976464,17;304403,98;3710280868,15;0,0;0,0;0,0;3709976464,17;304403,98;3710280868,15;49356997411,44;12288382888,41;61645380299,85;7,52;6,02;0,0;0,0;7,52;6,02;6,02
RS;2018;OK;4344391578,55;4318028612,23;8662420190,779999;0,0;0,0;0,0;4344391578,55;4318028612,23;8662420190,779999;55083259446,37;13207673891,85;68290933338,22;7,89;12,68;0,0;0,0;7,89;12,68;6,36
RS;2019;OK;4757558851,85;63097674,08;4820656525,93;0,0;0,0;0,0;4757558851,85;63097674,08;4820656525,93;57213112761,43;15595926781,61;72809039543,04;8,32;6,62;0,0;0,0;8,32;6,62;6,53
RS;2020;OK;5290862234,18;516500,16;5291378734,34;0,0;0,0;0,0;5290862234,18;516500,16;5291378734,34;46327874940,76;16698814333,94;63026689274,7;11,42;8,4;0,0;0,0;11,42;8,4;8,39
RS;2021;OK;5513399328,83;4952,49;5513404281,32;0,0;0,0;0,0;5513399328,83;4952,49;5513404281,32;51853752441,98;16315404135,18;68169156577,16;10,63;8,09;0,0;0,0;10,63;8,09;8,09
RS;2022;OK;6486335959,62;103190,45;6486439150,07;0,0;0,0;0,0;6486335959,62;103190,45;6486439150,07;51242027507,14;16536208589,1;67778236096,24;12,66;9,57;0,0;0,0;12,66;9,57;9,57
RS;2023;OK;6278051714,42;306966,17;6278358680,59;0,0;0,0;0,0;6278051714,42;306966,17;6278358680,59;57604746817,03;17167338716,76;74772085533,79;10,9;8,4;0,0;0,0;10,9;8,4;8,4
RS;2024;OK;6276660596,44;166097,63;6276826694,07;0,0;0,0;0,0;6276660596,44;166097,63;6276826694,07;59448877020,62;17221429762,18;76670306782,8;10,56;8,19;0,0;0,0;10,56;8,19;8,19
SC;2015;OK;1985602829,63;0,0;1985602829,63;197943426,51;0,0;197943426,51;2183546256,1400003;0,0;2183546256,1400003;21203600107,57;1320610591,18;22524210698,75;9,36;8,82;0,93;0,88;10,3;9,69;8,82
SC;2016;OK;2135862573,92;430765728,3;2566628302,2200003;661554510,26;51193783,91;712748294,17;2797417084,1800003;481959512,21;3279376596,3900003;22077125895,49;1560375436,98;23637501332,47;9,67;10,86;3,0;3,02;12,67;13,87;9,04
SC;2017;OK;2195018385,18;439749261,17;2634767646,35;275683317,6;1063630,12;276746947,72;2470701702,78;440812891,29;2911514594,07;23288157921,65;1633052099,04;24921210020,69;9,43;10,57;1,18;1,11;10,61;11,68;8,81
SC;2018;OK;2272593168,12;467424622,88;2740017791,0;303481049,41;3565885,25;307046934,66;2576074217,53;470990508,13;3047064725,66;24671934218,11;1755643308,87;26427577526,98;9,21;10,37;1,23;1,16;10,44;11,53;8,6
SC;2019;OK;2255215261,78;513705828,74;2768921090,5200005;294542086,59;3580900,09;298122986,67999995;2549757348,3700004;517286728,83;3067044077,2000003;25339436076,16;1918086226,33;27257522302,49;8,9;10,16;1,16;1,09;10,06;11,25;8,27
SC;2020;OK;2351318096,13;245546068,18;2596864164,31;276673577,91;5262178,02;281935755,93;2627991674,04;250808246,2;2878799920,24;25739700773,72;1657226838,14;27396927611,86;9,13;9,48;1,07;1,03;10,21;10,51;8,58
SC;2021;OK;2498076276,62;259430954,34;2757507230,96;265688186,73;5819023,6;271507210,33;2763764463,35;265249977,94;3029014441,29;30632913136,28;1726094725,84;32359007862,12;8,15;8,52;0,87;0,84;9,02;9,36;7,72
