UF;Ano;Total F06;Subfunção;Valor;Pct
AL;2024;2012602381,04;Demais Subfunções;15894159,02;0,7897317010917372
AM;2015;1354129104,93;Policiamento;82378100,54;6,083474628828574
AM;2015;1354129104,93;Defesa Civil;62631649,0;4,625234681979431
AM;2015;1354129104,93;Informação e Inteligência;296000,0;0,021859067863052934
AM;2015;1354129104,93;Administração Geral;1143958304,94;84,47926425738672
AM;2015;1354129104,93;Demais Subfunções;64865050,45;4,7901673639422375
AM;2016;1392572123,73;Policiamento;119583603,91;8,587246712198697
AM;2016;1392572123,73;Defesa Civil;11393451,87;0,8181588354276885
AM;2016;1392572123,73;Informação e Inteligência;312000,0;0,02240458463036794
AM;2016;1392572123,73;Administração Geral;1211365006,48;86,98759553188259
AM;2016;1392572123,73;Demais Subfunções;49918061,47;3,584594335860654
AM;2017;1411427539,63;Policiamento;5894083,8;0,4175973356411275
AM;2017;1411427539,63;Defesa Civil;29702151,37;2,104404975531815
AM;2017;1411427539,63;Informação e Inteligência;336000,0;0,02380568541889731
AM;2017;1411427539,63;Demais Subfunções;1375495304,46;97,45419200340815
AM;2018;1715177655,49;Policiamento;12373878,48;0,7214342164727521
AM;2018;1715177655,49;Defesa Civil;10930701,77;0,637292687146001
AM;2018;1715177655,49;Informação e Inteligência;168000,0;0,009794903721037864
AM;2018;1715177655,49;Administração Geral;1665511518,29;97,10431528529847
AM;2018;1715177655,49;Demais Subfunções;26193556,95;1,5271629073617392
AM;2019;2011381251,93;Policiamento;5104132,8;0,25376257211815917
AM;2019;2011381251,93;Defesa Civil;20694766,16;1,0288833178763375
AM;2019;2011381251,93;Informação e Inteligência;240730,0;0,011968392355701338
AM;2019;2011381251,93;Administração Geral;1951403809,96;97,01809679729045
AM;2019;2011381251,93;Demais Subfunções;33937813,01;1,687288920359346
AM;2020;2068375322,94;Policiamento;7107348,53;0,3436198668188313
AM;2020;2068375322,94;Defesa Civil;2913768,06;0,1408723082162068
AM;2020;2068375322,94;Informação e Inteligência;241154,0;0,011659102549010418
AM;2020;2068375322,94;Administração Geral;2014590070,61;97,39963768985845
AM;2020;2068375322,94;Demais Subfunções;43522981,74;2,1042110325574854
AM;2021;2276422104,83;Policiamento;8557451,29;0,3759167191288128
AM;2021;2276422104,83;Defesa Civil;9075307,12;0,39866539253614086
AM;2021;2276422104,83;Informação e Inteligência;102000,0;0,004480715583616125
AM;2021;2276422104,83;Administração Geral;2197212751,01;96,52044523500552
AM;2021;2276422104,83;Demais Subfunções;61474595,41;2,7004919377459142
AM;2022;2601261750,58;Policiamento;6225342,15;0,23932009720328776
AM;2022;2601261750,58;Defesa Civil;18200989,13;0,6996984877028138
AM;2022;2601261750,58;Informação e Inteligência;306000,0;0,011763522065081362
AM;2022;2601261750,58;Administração Geral;2482176907,9;95,4220353775068
AM;2022;2601261750,58;Demais Subfunções;94352511,4;3,627182515522029
AM;2023;2641795841,98;Policiamento;12432337,08;0,47060173547256723
AM;2023;2641795841,98;Defesa Civil;22768299,77;0,8618493302243744
AM;2023;2641795841,98;Informação e Inteligência;156000,0;0,005905074022793508
AM;2023;2641795841,98;Administração Geral;2474668256,59;93,6737130578289
AM;2023;2641795841,98;Demais Subfunções;131770948,54;4,987930802451372
AM;2024;2964407513,78;Policiamento;13166065,4;0,4441381739453081
AM;2024;2964407513,78;Defesa Civil;47392516,3;1,5987179927083797
AM;2024;2964407513,78;Administração Geral;2669546571,3;90,05329256826722
AM;2024;2964407513,78;Demais Subfunções;234302360,78;7,903851265079085
AP;2015;450492315,38;Policiamento;6631922,64;1,4721500042472044
AP;2015;450492315,38;Defesa Civil;3365672,92;0,7471099517338009
AP;2015;450492315,38;Informação e Inteligência;93464,38;0,02074716411558781
AP;2015;450492315,38;Administração Geral;439671344,84;97,59796778533895
AP;2015;450492315,38;Demais Subfunções;729910,6;0,1620250945644444
AP;2016;406228319,98;Policiamento;9003328,78;2,216322284089712
AP;2016;406228319,98;Defesa Civil;1268698,97;0,31231179797175695
AP;2016;406228319,98;Informação e Inteligência;118998,65;0,029293538669548865
AP;2016;406228319,98;Administração Geral;395743350,88;97,41894678822091
AP;2016;406228319,98;Demais Subfunções;93942,7;0,023125591048065067
AP;2017;447686649,35;Policiamento;13049004,09;2,9147628389066234
AP;2017;447686649,35;Defesa Civil;3352602,11;0,7488724791922365
AP;2017;447686649,35;Informação e Inteligência;128450,44;0,028692041673902553
AP;2017;447686649,35;Demais Subfunções;431156592,71;96,30767264022722
AP;2018;450858698,03;Policiamento;8042529,3;1,7838248070052434
AP;2018;450858698,03;Defesa Civil;1978052,01;0,43872992106905767
AP;2018;450858698,03;Informação e Inteligência;105568,61;0,023415010170875203
AP;2018;450858698,03;Demais Subfunções;440732548,11;97,75403026175483
AP;2019;552215231,77;Policiamento;26571201,43;4,811747286439759
AP;2019;552215231,77;Defesa Civil;3062351,06;0,5545575137767085
AP;2019;552215231,77;Informação e Inteligência;53049,55;0,009606679958819999
AP;2019;552215231,77;Administração Geral;522516823,55;94,62195055272045
AP;2019;552215231,77;Demais Subfunções;11806,18;0,0021379671042680193
AP;2020;722548985,65;Policiamento;27518654,12;3,8085520382046365
AP;2020;722548985,65;Defesa Civil;6512990,15;0,9013908093914159
AP;2020;722548985,65;Informação e Inteligência;38081,5;0,005270438510925616
AP;2020;722548985,65;Administração Geral;688441867,88;95,27961170143814
AP;2020;722548985,65;Demais Subfunções;37392,0;0,005175012454880471
AP;2021;720583076,55;Policiamento;20978686,8;2,9113488066416346
AP;2021;720583076,55;Defesa Civil;4069565,32;0,564760046750504
AP;2021;720583076,55;Informação e Inteligência;35238,83;0,004890321622416682
AP;2021;720583076,55;Administração Geral;695440037,05;96,51073688541513
AP;2021;720583076,55;Demais Subfunções;59548,55;0,008263939570313798
AP;2022;878492078,71;Policiamento;52144325,37;5,935662555611207
AP;2022;878492078,71;Defesa Civil;4372702,43;0,49775092297030005
AP;2022;878492078,71;Informação e Inteligência;60957,0;0,006938821814934381
AP;2022;878492078,71;Administração Geral;821747449,81;93,54067836521357
AP;2022;878492078,71;Demais Subfunções;166644,1;0,018969334389981572
AP;2023;930140168,2;Policiamento;33078550,01;3,5562973346278928
AP;2023;930140168,2;Defesa Civil;6544825,45;0,7036386206893414
AP;2023;930140168,2;Informação e Inteligência;190390,0;0,020468957960222408
AP;2023;930140168,2;Administração Geral;890251115,31;95,71150088408793
AP;2023;930140168,2;Demais Subfunções;75287,43;0,008094202634608893
AP;2024;1048091062,13;Policiamento;34011002,24;3,2450426750973906
AP;2024;1048091062,13;Defesa Civil;5527565,05;0,5273935872295787
AP;2024;1048091062,13;Informação e Inteligência;624787,3;0,05961192901791052
AP;2024;1048091062,13;Administração Geral;1007677580,2;96,14408676972505
AP;2024;1048091062,13;Demais Subfunções;250127,34;0,023865038930078717
BA;2015;3710967127,5;Policiamento;3319197698,39;89,44292914354305
BA;2015;3710967127,5;Defesa Civil;1716954,03;0,04626702342029841
BA;2015;3710967127,5;Informação e Inteligência;14955712,56;0,4030138787587522
BA;2015;3710967127,5;Administração Geral;254440411,58;6,856444771350242
BA;2015;3710967127,5;Demais Subfunções;120656350,94;3,251345182927654
BA;2016;4114985183,62;Policiamento;441980519,26;10,740756030406521
BA;2016;4114985183,62;Defesa Civil;9882056,84;0,2401480539793011
BA;2016;4114985183,62;Informação e Inteligência;20244640,21;0,4919735869423121
BA;2016;4114985183,62;Administração Geral;3507271616,45;85,23169488947254
BA;2016;4114985183,62;Demais Subfunções;135606350,86;3,29542743919932
BA;2017;4059868816,81;Policiamento;302700361,85;7,455914846230025
BA;2017;4059868816,81;Defesa Civil;15134896,41;0,3727927451087469
BA;2017;4059868816,81;Informação e Inteligência;10631953,32;0,2618792330426565
BA;2017;4059868816,81;Administração Geral;3602767640,48;88,740986545246
BA;2017;4059868816,81;Demais Subfunções;128633964,75;3,1684266303725748
BA;2018;4292028772,43;Policiamento;300676928,38;7,005473269690292
BA;2018;4292028772,43;Defesa Civil;26550540,16;0,618601168998408
BA;2018;4292028772,43;Informação e Inteligência;9021953,06;0,21020252981417176
BA;2018;4292028772,43;Administração Geral;3824915893,21;89,11673467287741
BA;2018;4292028772,43;Demais Subfunções;130863457,62;3,04898835861973
BA;2019;4506107994,55;Policiamento;280562472,29;6,226270489507392
BA;2019;4506107994,55;Defesa Civil;34845297,45;0,7732903315265485
BA;2019;4506107994,55;Informação e Inteligência;14193408,55;0,314981544320875
BA;2019;4506107994,55;Administração Geral;3941424039,95;87,46847711410894
BA;2019;4506107994,55;Demais Subfunções;235082776,31;5,2169805205362465
BA;2020;4301274307,75;Policiamento;222241189,41;5,166868548922064
BA;2020;4301274307,75;Defesa Civil;21771113,19;0,5061549585613034
BA;2020;4301274307,75;Informação e Inteligência;9372571,46;0,2179022026824139
BA;2020;4301274307,75;Administração Geral;3818364850,75;88,7728746773974
BA;2020;4301274307,75;Demais Subfunções;229524582,94;5,33619961243682
BA;2021;4319232567,0;Policiamento;319838983,26;7,4049956398191785
BA;2021;4319232567,0;Defesa Civil;27421980,73;0,6348808568334727
BA;2021;4319232567,0;Informação e Inteligência;15703536,15;0,3635723686188811
BA;2021;4319232567,0;Administração Geral;3720642814,15;86,14129377002358
BA;2021;4319232567,0;Demais Subfunções;235625252,71;5,4552573647049
BA;2022;5151760218,53;Policiamento;632219623,95;12,271914785086741
BA;2022;5151760218,53;Defesa Civil;67453800,69;1,3093350200457743
BA;2022;5151760218,53;Informação e Inteligência;11429838,58;0,2218627827220845
BA;2022;5151760218,53;Administração Geral;4194229070,73;81,41351485350728
BA;2022;5151760218,53;Demais Subfunções;246427884,58;4,783372558638135
BA;2023;5855742155,9;Policiamento;808998482,13;13,815473096179398
BA;2023;5855742155,9;Defesa Civil;48460126,76;0,8275659253741836
BA;2023;5855742155,9;Informação e Inteligência;21501888,57;0,36719322670885707
BA;2023;5855742155,9;Administração Geral;4727079861,33;80,7255465742663
BA;2023;5855742155,9;Demais Subfunções;249701797,11;4,264221177471262
BA;2024;6454228813,16;Policiamento;807905907,25;12,517466154944824
BA;2024;6454228813,16;Defesa Civil;58331075,54;0,9037652247634063
BA;2024;6454228813,16;Informação e Inteligência;43396771,96;0,6723773392030221
BA;2024;6454228813,16;Administração Geral;5194748759,96;80,4859714512762
BA;2024;6454228813,16;Demais Subfunções;349846298,45;5,420419829812553
CE;2015;1753469667,47;Policiamento;276838230,25;15,788025044621218
CE;2015;1753469667,47;Defesa Civil;23806206,24;1,3576628487876192
CE;2015;1753469667,47;Informação e Inteligência;3866704,32;0,22051732013015587
CE;2015;1753469667,47;Administração Geral;1400138016,38;79,84957152981119
CE;2015;1753469667,47;Demais Subfunções;48820510,28;2,7842232566498195
CE;2016;1878699039,68;Policiamento;109303704,63;5,818052935643047
CE;2016;1878699039,68;Defesa Civil;9203523,35;0,4898881170220666
CE;2016;1878699039,68;Administração Geral;1724961680,35;91,81681812345066
CE;2016;1878699039,68;Demais Subfunções;35230131,35;1,8752408238842115
CE;2017;2048599129,8;Policiamento;160425700,91;7,830995267759485
CE;2017;2048599129,8;Defesa Civil;20429488,04;0,9972418587327274
CE;2017;2048599129,8;Administração Geral;1816801118,51;88,6850478496186
CE;2017;2048599129,8;Demais Subfunções;50942822,34;2,4867150238891997
CE;2018;2533499592,96;Policiamento;170451819,74;6,727919760225956
CE;2018;2533499592,96;Defesa Civil;26816183,26;1,0584640840091655
CE;2018;2533499592,96;Administração Geral;2270813251,84;89,63148279755231
CE;2018;2533499592,96;Demais Subfunções;65418338,12;2,5821333582125763
CE;2019;2698889557,46;Policiamento;239103840,84;8,859341434668682
CE;2019;2698889557,46;Defesa Civil;2744237,19;0,10168023298377121
CE;2019;2698889557,46;Informação e Inteligência;44984651,27;1,6667837016767857
CE;2019;2698889557,46;Administração Geral;2369660158,74;87,80130154603854
CE;2019;2698889557,46;Demais Subfunções;42396669,42;1,5708930846322102
CE;2020;2972428596,5;Policiamento;134180285,57;4,514163459737795
CE;2020;2972428596,5;Defesa Civil;3650086,09;0,12279810839856452
CE;2020;2972428596,5;Informação e Inteligência;46959706,18;1,5798430359368263
CE;2020;2972428596,5;Administração Geral;2752003684,3;92,58434963048238
CE;2020;2972428596,5;Demais Subfunções;35634834,36;1,198845765444445
CE;2021;3186393887,75;Policiamento;148922533,5;4,673701329660731
CE;2021;3186393887,75;Defesa Civil;3774735,16;0,11846417276005522
CE;2021;3186393887,75;Informação e Inteligência;76682265,11;2,4065532326308676
CE;2021;3186393887,75;Administração Geral;2914694708,0;91,47314521300899
CE;2021;3186393887,75;Demais Subfunções;42319645,98;1,3281360519393621
CE;2022;4076369554,38;Policiamento;276080875,3;6,772714583822635
CE;2022;4076369554,38;Defesa Civil;1819817,75;0,04464310033040631
CE;2022;4076369554,38;Informação e Inteligência;106394869,89;2,610039852144422
CE;2022;4076369554,38;Administração Geral;3626015278,37;88,95207438868978
CE;2022;4076369554,38;Demais Subfunções;66058713,07;1,6205280750127493
CE;2023;4470803652,35;Policiamento;274255125,64;6,134358539674238
CE;2023;4470803652,35;Defesa Civil;11990713,3;0,2682004004738005
CE;2023;4470803652,35;Informação e Inteligência;75335937,89;1,6850647836077741
CE;2023;4470803652,35;Administração Geral;4047414330,96;90,52990571018584
CE;2023;4470803652,35;Demais Subfunções;61807544,56;1,3824705660583403
CE;2024;4685759577,95;Policiamento;376371029,17;8,032230909607632
CE;2024;4685759577,95;Defesa Civil;1822288,26;0,03888992232071035
CE;2024;4685759577,95;Informação e Inteligência;25826653,89;0,551173261460825
CE;2024;4685759577,95;Administração Geral;3951326255,96;84,32626963094613
CE;2024;4685759577,95;Demais Subfunções;330413350,67;7,051436275664713
DF;2015;604958319,63;Policiamento;18230136,48;3,013453305535128
DF;2015;604958319,63;Administração Geral;457941819,12;75,6980777452706
DF;2015;604958319,63;Demais Subfunções;128786364,03;21,288468949194275
DF;2016;708564578,41;Policiamento;59580096,9;8,408562707678128
DF;2016;708564578,41;Administração Geral;490266152,29;69,1914565345821
DF;2016;708564578,41;Demais Subfunções;158718329,22;22,399980757739783
DF;2017;745509635,19;Policiamento;56581135,31;7,589591420314745
DF;2017;745509635,19;Administração Geral;534767990,74;71,73186844241248
DF;2017;745509635,19;Demais Subfunções;154160509,14;20,678540137272773
DF;2018;789058634,23;Policiamento;135462393,57;17,16759537169129
DF;2018;789058634,23;Administração Geral;540844642,94;68,54302322764408
DF;2018;789058634,23;Demais Subfunções;112751597,72;14,289381400664633
DF;2019;825276748,29;Policiamento;115450288,38;13,989281609983163
DF;2019;825276748,29;Administração Geral;581870617,97;70,50612042271331
DF;2019;825276748,29;Demais Subfunções;127955841,94;15,50459796730353
DF;2020;893254504,76;Policiamento;98449136,57;11,021398273994862
DF;2020;893254504,76;Defesa Civil;1021101,18;0,11431245793429834
DF;2020;893254504,76;Administração Geral;603656337,26;67,57943386159477
DF;2020;893254504,76;Demais Subfunções;190127929,75;21,28485540647608
DF;2021;903561520,99;Policiamento;112622780,69;12,464317932286807
DF;2021;903561520,99;Administração Geral;593762035,36;65,71351497011916
DF;2021;903561520,99;Demais Subfunções;197176704,94;21,822167097594033
DF;2022;1044983398,47;Policiamento;96871021,99;9,270101528103943
DF;2022;1044983398,47;Defesa Civil;98920,5;0,009466226941483784
